,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0004000663757324219,0.000489979265096882,0.0004066944122314453,0.0004982135651682415,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
1,0.0,0.0,0.0009889602661132812,1.8005259966103245e-05,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7391304347826086,0.8260869565217391,0.9545454545454546,0.8636363636363636,0.7727272727272727,0.8312252964426877,0.0750842507201956,17
2,0.0007991790771484375,0.00040014528194312865,0.00020003318786621094,0.0004000663757324219,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
3,0.0005984783172607421,0.0004892052349577886,0.0,0.0,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
4,0.0008003711700439453,0.00040108306584698346,0.00020003318786621094,0.0004000663757324219,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.8260869565217391,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9197628458498024,0.05770750988142293,13
5,0.0,0.0,0.0010001182556152344,5.702940516558096e-06,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
6,0.00019989013671875,0.0003997802734375,0.00019979476928710938,0.00039958953857421875,0.1,10,linear,"{'C': 0.1, 'gamma': 10, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
7,0.0008041858673095703,0.0004022023488668618,0.00019969940185546876,0.0003993988037109375,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.6956521739130435,0.2608695652173913,0.4090909090909091,0.45454545454545453,0.3181818181818182,0.42766798418972335,0.15012792224792484,18
8,0.0003998279571533203,0.0004897464435334634,0.0006008625030517578,0.0004906322182550548,0.1,10,sigmoid,"{'C': 0.1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
9,0.0,0.0,0.0005975723266601563,0.00048793294151180006,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
10,0.0,0.0,0.0,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9130434782608695,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9371541501976285,0.035800764819681447,9
11,0.0009952068328857421,0.000631066684903696,0.00040183067321777346,0.0004921431112235863,1,0.1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
12,0.00039992332458496096,0.0004898040465379741,0.0004021167755126953,0.0004925021446810262,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
13,0.0,0.0,0.0010001182556152344,7.66121665134957e-06,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8695652173913043,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.9375494071146244,0.04451863423417024,8
14,0.0009999752044677734,6.633694381359691e-06,0.0,0.0,1,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
15,0.00039825439453125,0.000487766763160836,0.00040001869201660155,0.0004899215434632135,1,10,linear,"{'C': 1, 'gamma': 10, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
16,0.0006017684936523438,0.0004913539569176713,0.00039844512939453126,0.0004880011768576194,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.9130434782608695,0.9565217391304348,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8920948616600791,0.037468187592582025,15
17,0.0,0.0,0.0,0.0,1,10,sigmoid,"{'C': 1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
18,0.0004001140594482422,0.0004902234417595707,0.0001998424530029297,0.0003996849060058594,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
19,0.0006002426147460937,0.0004910802014950221,0.0,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9130434782608695,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9462450592885375,0.033196875254697354,7
20,0.0007998943328857422,0.00039994763190957284,0.00019993782043457032,0.0003998756408691407,10,0.1,sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
21,0.0004002571105957031,0.0004902128666314247,0.00039987564086914064,0.0004897457332026785,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
22,0.0,0.0,0.0005999088287353515,0.0004898245364955109,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8695652173913043,1.0,0.9545454545454546,0.8636363636363636,0.9090909090909091,0.9193675889328062,0.051828416484287765,14
23,0.0,0.0,0.00019969940185546876,0.0003993988037109375,10,1,sigmoid,"{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
24,0.00040001869201660155,0.0004899208473093904,0.00020003318786621094,0.0004000663757324219,10,10,linear,"{'C': 10, 'gamma': 10, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
25,0.0006000518798828125,0.0004899403160383116,0.00039997100830078123,0.0004898624411217046,10,10,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.9565217391304348,0.9565217391304348,0.8636363636363636,0.8181818181818182,0.8636363636363636,0.891699604743083,0.05546850305670634,16
26,0.0,0.0,0.0008000373840332031,0.000400018706226792,10,10,sigmoid,"{'C': 10, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
